"","ISO 3","Continent","Country","Corporate Tax Rate","Tax Rate Accounting for Global Minimum Tax","Joined the Pillar Two Statement","Income Inclusion Rule (IIR)","Undertaxed Profits Rule (UTPR)","Qualified Domestic Minimum Top-up Tax (QDMTT)"
"212","SWE","EU","Sweden",20.6,20.6,"Yes","Yes","No","Yes"
"213","SWZ","AF","Swaziland",25,25,"Yes","No","No","No"
"214","SXM","NO","Sint Maarten (Dutch part)",34.5,34.5,"No","No","No","No"
"215","SYC","AF","Seychelles",25,25,"No","No","No","No"
"216","SYR","AS","Syrian Arab Republic",25,25,"No","No","No","No"
"217","TCA","NO","Turks and Caicos Islands",0,0,"No","No","No","No"
"218","TCD","AF","Chad",35,35,"No","No","No","No"
"219","TGO","AF","Togo",27,27,"No","No","No","No"
"220","THA","AS","Thailand",20,20,"Yes","No","No","No"
"221","TJK","AS","Tajikistan",18,18,"No","No","No","No"
"222","TKL","OC","Tokelau",0,0,"No","No","No","No"
"223","TKM","AS","Turkmenistan",8,8,"No","No","No","No"
"224","TLS","OC","Timor-Leste",10,10,"No","No","No","No"
"225","TON","OC","Tonga",25,25,"No","No","No","No"
"226","TTO","NO","Trinidad and Tobago",30,30,"Yes","No","No","No"
"227","TUN","AF","Tunisia",15,15,"Yes","No","No","No"
"228","TUR","AS","Turkey",25,25,"Yes","Yes","No","Yes"
"229","TUV","OC","Tuvalu",NA,NA,"No","No","No","No"
"230","TWN","AS","Taiwan",20,20,"No","No","No","No"
"231","TZA","AF","United Republic of Tanzania",30,30,"No","No","No","No"
"232","UGA","AF","Uganda",30,30,"No","No","No","No"
"233","UKR","EU","Ukraine",18,18,"Yes","No","No","No"
"234","UMI","OC","United States Minor Outlying Islands",NA,NA,"No","No","No","No"
"235","URY","SA","Uruguay",25,25,"Yes","No","No","No"
"236","USA","NO","United States of America",25.631375,25.631375,"Yes","No","No","No"
"237","UZB","AS","Uzbekistan",15,15,"Yes","No","No","No"
"238","VAT","EU","Holy See",NA,NA,"No","No","No","No"
"239","VCT","NO","Saint Vincent and the Grenadines",28,28,"No","No","No","No"
"240","VEN","SA","Venezuela (Bolivarian Republic of)",34,34,"No","No","No","No"
"241","VGB","NO","British Virgin Islands",0,0,"Yes","No","No","No"
